number,Chinese entity name,entity binomial scientific name,Chinese condition,English condition,Chinese relation,English relation
1571,甜菜白粉病,Erysiphe sp.,干旱少雨,Drought and little rain,适宜发生条件,ConditionIs
1572,甜菜白粉病,Erysiphe sp.,土壤干旱,Soil drought,适宜发生条件,ConditionIs
1573,甜菜白粉病,Erysiphe sp.,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
1574,甜菜白粉病,Erysiphe sp.,氮肥过量,Excessive nitrogen fertilizer,适宜发生条件,ConditionIs
1575,甜菜白粉病,Erysiphe sp.,土壤干旱缺水,Soil drought and water shortage,适宜发生条件,ConditionIs
1576,棉红铃虫,Pectinophora gossypiella,高温,high temperature,适宜发生条件,ConditionIs
1577,棉红铃虫,Pectinophora gossypiella,高湿,High humidity,适宜发生条件,ConditionIs
1578,焦条丽夜蛾,Xestia c-nigrum,降雨量大,Heavy rainfall,适宜发生条件,ConditionIs
1579,棉红蝽,Dysdercus sp.,相对湿度为40％～80％,Relative humidity: 40% to 80%,适宜发生条件,ConditionIs
1580,棉红蝽,Dysdercus sp.,相对湿度37％以上,Relative humidity 37% or more,适宜发生条件,ConditionIs
1581,棉根蚜,Smynthurodes betae,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1582,棉根蚜,Smynthurodes betae,通透性好,Good permeability,适宜发生条件,ConditionIs
1583,二斑叶螨,Tetranychus urticae,干旱少雨,Drought and little rain,适宜发生条件,ConditionIs
1584,油葫芦,Teleogryllus emma,土质疏松潮湿,Loose and moist soil,适宜发生条件,ConditionIs
1585,亚麻斑点病,"No specific scientific name, maybe Spot disease of flax",地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1586,红麻、黄麻立枯病,Rhizoctonia solani,阴雨多湿,Rainy and wet,适宜发生条件,ConditionIs
1587,红麻、黄麻立枯病,Rhizoctonia solani,春季低温,Spring low temperatures,适宜发生条件,ConditionIs
1588,红麻、黄麻立枯病,Rhizoctonia solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
1589,红麻、黄麻立枯病,Rhizoctonia solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1590,红麻炭疽病,Colletotrichum sp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1591,红麻炭疽病,Colletotrichum sp.,地下水位高,High groundwater level,适宜发生条件,ConditionIs
1592,红麻斑点病,Kenaf brown leaf spot,多雨高湿,Rainy and humid,适宜发生条件,ConditionIs
1593,红麻斑点病,Kenaf brown leaf spot,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
1594,红麻叶霉病,Kenaf yellow leaf spot,麻田低洼,Matian Low-lying Area,适宜发生条件,ConditionIs
1595,黄麻细菌性斑点病,Xanthomonas sp.,高温,high temperature,适宜发生条件,ConditionIs
1596,黄麻细菌性斑点病,Xanthomonas sp.,多湿,Humidity,适宜发生条件,ConditionIs
1597,苎麻炭疽病,Colletotrichum sp.,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1598,苎麻疫病,Phytophthora sp.,多雨高湿,Rainy and humid,适宜发生条件,ConditionIs
1599,苎麻茎腐病,Fusarium sp.,麻株过密,Too dense hemp plants,适宜发生条件,ConditionIs
1600,苎麻茎腐病,Fusarium sp.,麻地积水,Waterlogging in Hempland,适宜发生条件,ConditionIs
1601,苎麻茎腐病,Fusarium sp.,田间湿度大,High humidity in the field,适宜发生条件,ConditionIs
1602,苎麻白纹羽病,Rosellinia necatrix,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
1603,苎麻白纹羽病,Rosellinia necatrix,板结,harden,适宜发生条件,ConditionIs
1604,苎麻白纹羽病,Rosellinia necatrix,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
1605,苎麻白纹羽病,Rosellinia necatrix,杂草多,Lots of weeds,适宜发生条件,ConditionIs
1606,苎麻白纹羽病,Rosellinia necatrix,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
1607,苎麻青枯病,Ralstonia solanacearum,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1608,苎麻青枯病,Ralstonia solanacearum,雨后骤晴,Sunshine after rain,适宜发生条件,ConditionIs
1609,苎麻青枯病,Ralstonia solanacearum,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1610,苎麻青枯病,Ralstonia solanacearum,保水保肥力差,Poor water and fertilizer retention,适宜发生条件,ConditionIs
1611,苎麻青枯病,Ralstonia solanacearum,有机质含量低,Low organic matter content,适宜发生条件,ConditionIs
1612,苎麻花叶病,Ramie mosaic virus,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
1613,苎麻花叶病,Ramie mosaic virus,钾肥不足,Insufficient potassium fertilizer,适宜发生条件,ConditionIs
1614,苎麻花叶病,Ramie mosaic virus,排水不良,Poor drainage,适宜发生条件,ConditionIs
1615,苎麻花叶病,Ramie mosaic virus,耕作粗放,Extensive farming,适宜发生条件,ConditionIs
1616,大豆霜霉病,Peronospora manshurica,低温,Low temperature,适宜发生条件,ConditionIs
1617,大豆霜霉病,Peronospora manshurica,多雨,Rainy,适宜发生条件,ConditionIs
1618,大豆霜霉病,Peronospora manshurica,土温低,Low soil temperature,适宜发生条件,ConditionIs
1619,大豆霜霉病,Peronospora manshurica,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
1620,大豆枯萎病,Fusarium oxysporum f. sp. glycines,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
1621,大豆枯萎病,Fusarium oxysporum f. sp. glycines,土质黏重,Heavy soil,适宜发生条件,ConditionIs
1622,大豆枯萎病,Fusarium oxysporum f. sp. glycines,土壤板结,Soil compaction,适宜发生条件,ConditionIs
1623,大豆疫霉根腐病,Phytophthora sojae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1624,大豆疫霉根腐病,Phytophthora sojae,土壤为黏土,Soil is clay,适宜发生条件,ConditionIs
1625,大豆疫霉根腐病,Phytophthora sojae,排排水不良,Poor drainage,适宜发生条件,ConditionIs
1626,大豆紫斑病,Cercospora kikuchii,高温,high temperature,适宜发生条件,ConditionIs
1627,大豆紫斑病,Cercospora kikuchii,高湿,High humidity,适宜发生条件,ConditionIs
1628,大豆紫斑病,Cercospora kikuchii,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1629,大豆灰斑病,Cercospora sojina,田间杂草多,Many weeds in the field,适宜发生条件,ConditionIs
1630,大豆灰斑病,Cercospora sojina,植株郁蔽,Plant shade,适宜发生条件,ConditionIs
1631,大豆灰斑病,Cercospora sojina,通风透光差,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1632,大豆褐斑病,Soybean brown spot,温暖多雨,Warm and rainy,适宜发生条件,ConditionIs
1633,大豆褐斑病,Soybean brown spot,通风透光不好,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1634,大豆褐斑病,Soybean brown spot,排水不良,Poor drainage,适宜发生条件,ConditionIs
1635,大豆立枯病,Rhizoctonia solani,低温多雨,Low temperature and heavy rain,适宜发生条件,ConditionIs
1636,大豆立枯病,Rhizoctonia solani,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
1637,大豆立枯病,Rhizoctonia solani,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1638,大豆立枯病,Rhizoctonia solani,光照不足,Insufficient light,适宜发生条件,ConditionIs
1639,大豆纹枯病,Rhizoctonia solani,低温多雨,Low temperature and heavy rain,适宜发生条件,ConditionIs
1640,大豆纹枯病,Rhizoctonia solani,低洼积水,Low-lying waterlogging,适宜发生条件,ConditionIs
1641,大豆纹枯病,Rhizoctonia solani,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1642,大豆纹枯病,Rhizoctonia solani,光照不足,Insufficient light,适宜发生条件,ConditionIs
1643,大豆黑痘病,Sphaceloma glycines,多雨湿,Rainy and wet,适宜发生条件,ConditionIs
1644,大豆疫病,Phytophthora sp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1645,大豆疫病,Phytophthora sp.,土壤为黏土,Soil is clay,适宜发生条件,ConditionIs
1646,大豆疫病,Phytophthora sp.,排排水不良,Poor drainage,适宜发生条件,ConditionIs
1647,大豆炭疽病,Colletotrichum sp.,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1648,大豆菌核病,Sclerotinia sclerotiorum,相对湿度,Relative humidity,适宜发生条件,ConditionIs
1649,大豆菌核病,Sclerotinia sclerotiorum,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1650,大豆茎枯病,Soybean Stem Rot,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1651,大豆菟丝子,Cuscuta sp.,土温25℃,Soil temperature 25℃,适宜发生条件,ConditionIs
1652,大豆菟丝子,Cuscuta sp.,土壤含水量15%,Soil moisture content 15%,适宜发生条件,ConditionIs
1653,大豆菟丝子,Cuscuta sp.,相对湿度70%,Relative humidity 70%,适宜发生条件,ConditionIs
1654,大豆褐纹病,Soybean Brown Spot,温暖多雨,Warm and rainy,适宜发生条件,ConditionIs
1655,大豆褐纹病,Soybean Brown Spot,通风透光不好,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1656,大豆褐纹病,Soybean Brown Spot,排水不良,Poor drainage,适宜发生条件,ConditionIs
1657,大豆赤霉病,Fusarium sp.,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1658,大豆赤霉病,Fusarium sp.,湿度大,High humidity,适宜发生条件,ConditionIs
1659,大豆根腐病,Fusarium solani,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
1660,大豆根腐病,Fusarium solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
1661,大豆灰星病,Soybean Gray Leaf Spot,相对温度85%,Relative temperature 85%,适宜发生条件,ConditionIs
1662,大豆菌核疫病,Soybean Sclerotinia Stem Rot,潮湿,Wet,适宜发生条件,ConditionIs
1663,大豆菌核疫病,Soybean Sclerotinia Stem Rot,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
1664,大豆菌核疫病,Soybean Sclerotinia Stem Rot,作物遮荫,Crop Shade,适宜发生条件,ConditionIs
1665,大豆煤斑病,Soybean Anthracnose,田间高湿,High humidity in the field,适宜发生条件,ConditionIs
1666,大豆煤斑病,Soybean Anthracnose,高温,high temperature,适宜发生条件,ConditionIs
1667,大豆煤斑病,Soybean Anthracnose,多雨,Rainy,适宜发生条件,ConditionIs
1668,斑须蝽,Dolycoris baccarum,相对湿度80％,Relative humidity 80%,适宜发生条件,ConditionIs
1669,豆叶螨,Tetranychus sp.,干旱,drought,适宜发生条件,ConditionIs
1670,豆叶螨,Tetranychus sp.,少雨,Little rain,适宜发生条件,ConditionIs
1671,花生褐斑病,Peanut brown spot,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1672,高粱大斑病,Exserohilum turcicum,田间湿度大,High humidity in the field,适宜发生条件,ConditionIs
1673,高粱大斑病,Exserohilum turcicum,排水不良,Poor drainage,适宜发生条件,ConditionIs
1674,高粱大斑病,Exserohilum turcicum,通风不良,Poor ventilation,适宜发生条件,ConditionIs
1675,高粱叶点病,Phyllosticta sp.,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1676,高粱豹纹病,Mycosphaerella sp.,低洼高湿,Low-lying and high-humidity,适宜发生条件,ConditionIs
1677,高粱炭疽病,Colletotrichum sp.,低洼高湿,Low-lying and high-humidity,适宜发生条件,ConditionIs
1678,高粱立枯病,Rhizoctonia solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1679,高粱立枯病,Rhizoctonia solani,土质黏重,Heavy soil,适宜发生条件,ConditionIs
1680,高粱丝黑穗病,Sphacelotheca reiliana,墒情不好,Poor soil moisture,适宜发生条件,ConditionIs
1681,高粱坚黑穗病,Sphacelotheca sorghi,湿度低,Low humidity,适宜发生条件,ConditionIs
1682,高粱镰刀菌穗腐病,Fusarium sp.,低温高湿,Low temperature and high humidity,适宜发生条件,ConditionIs
1683,高粱紫斑病,Cercospora sp.,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1684,高粱纹枯病,Rhizoctonia solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1685,高粱纹枯病,Rhizoctonia solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
1686,高粱纹枯病,Rhizoctonia solani,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
1687,高粱紫轮病,Sorghum Ramulispora leaf spot,高温潮湿,Hot and humid,适宜发生条件,ConditionIs
1688,高粱苗枯病,Sorghum seedling blight,昼暖夜凉,Warm days and cool nights,适宜发生条件,ConditionIs
1689,高粱苗枯病,Sorghum seedling blight,植地低洼积水,Waterlogging in low-lying areas,适宜发生条件,ConditionIs
1690,高粱苗枯病,Sorghum seedling blight,田间郁闭高湿,Field canopy and high humidity,适宜发生条件,ConditionIs
1691,高粱黑束病,Sorghum black bundle,通风透光不好,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1692,高粱黑束病,Sorghum black bundle,排水不良,Poor drainage,适宜发生条件,ConditionIs
1693,高粱黑束病,Sorghum black bundle,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1694,高粱黑束病,Sorghum black bundle,高温,high temperature,适宜发生条件,ConditionIs
1695,高粱黑束病,Sorghum black bundle,高湿,High humidity,适宜发生条件,ConditionIs
1696,高粱炭腐病,Macrophomina phaseolina,田间,field,适宜发生条件,ConditionIs
1697,高粱炭腐病,Macrophomina phaseolina,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
1698,高粱炭腐病,Macrophomina phaseolina,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1699,高粱炭腐病,Macrophomina phaseolina,土壤湿度,Soil moisture,适宜发生条件,ConditionIs
1700,高粱长粒黑穗病,Sphacelotheca cruenta,土壤温度低,Low soil temperature,适宜发生条件,ConditionIs
1701,高粱细菌性条纹病,Xanthomonas campestris pv. holcicola,高温多雨,Hot and rainy,适宜发生条件,ConditionIs
1702,高粱细菌性条纹病,Xanthomonas campestris pv. holcicola,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1703,高粱细菌性条纹病,Xanthomonas campestris pv. holcicola,土壤板结,Soil compaction,适宜发生条件,ConditionIs
1704,桃蛀野螟,Conogethes punctiferalis,多雨高湿,Rainy and humid,适宜发生条件,ConditionIs
1705,黏虫,Mythimna separata,多雨,Rainy,适宜发生条件,ConditionIs
1706,粟白发病,Sclerospora graminicola,地温低,Low ground temperature,适宜发生条件,ConditionIs
1707,粟白发病,Sclerospora graminicola,湿度大,High humidity,适宜发生条件,ConditionIs
1708,粟瘟病,Pyricularia setariae,日照不足,Insufficient sunlight,适宜发生条件,ConditionIs
1709,粟瘟病,Pyricularia setariae,通风透光不良,Poor ventilation and light transmission,适宜发生条件,ConditionIs
1710,粟瘟病,Pyricularia setariae,田间湿度过高,Field humidity is too high,适宜发生条件,ConditionIs
1711,粟瘟病,Pyricularia setariae,土壤湿,Soil wet,适宜发生条件,ConditionIs
1712,粟瘟病,Pyricularia setariae,土质粘重,Heavy soil,适宜发生条件,ConditionIs
1713,粟瘟病,Pyricularia setariae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1714,粟黑鞘病,Black sheath disease of foxtail millet,土质贫瘠,Poor soil,适宜发生条件,ConditionIs
1715,粟黑鞘病,Black sheath disease of foxtail millet,水肥不足,Insufficient water and fertilizer,适宜发生条件,ConditionIs
1716,粟锈病,Uromyces setariae-italicae,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1717,粟纹枯病,Rhizoctonia solani,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1718,粟纹枯病,Rhizoctonia solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1719,粟纹枯病,Rhizoctonia solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
1720,粟纹枯病,Rhizoctonia solani,土壤湿度大,High soil moisture,适宜发生条件,ConditionIs
1721,粟粒线虫病,Aphelenchoides besseyi,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
1722,粟粒线虫病,Aphelenchoides besseyi,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1723,粟粒线虫病,Aphelenchoides besseyi,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1724,粟苗枯病,Seedling blight of foxtail millet,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1725,粟苗枯病,Seedling blight of foxtail millet,排水不良,Poor drainage,适宜发生条件,ConditionIs
1726,粟胡麻斑病,Bipolaris setariae,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1727,粟胡麻斑病,Bipolaris setariae,砂质,Sandy,适宜发生条件,ConditionIs
1728,粟胡麻斑病,Bipolaris setariae,保肥性差,Poor fertilizer retention,适宜发生条件,ConditionIs
1729,粟叶斑病,Leaf spot of foxtail millet,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1730,粟假黑斑病,False black spot of foxtail millet,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1731,粟假黑斑病,False black spot of foxtail millet,高温,high temperature,适宜发生条件,ConditionIs
1732,粟假黑斑病,False black spot of foxtail millet,高湿,High humidity,适宜发生条件,ConditionIs
1733,粟条点病,Striped and dotted disease of foxtail millet,管理粗放,Extensive management,适宜发生条件,ConditionIs
1734,粟条点病,Striped and dotted disease of foxtail millet,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
1735,粟条点病,Striped and dotted disease of foxtail millet,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1736,粟条点病,Striped and dotted disease of foxtail millet,排水不良,Poor drainage,适宜发生条件,ConditionIs
1737,粟条点病,Striped and dotted disease of foxtail millet,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1738,粟条点病,Striped and dotted disease of foxtail millet,干旱,drought,适宜发生条件,ConditionIs
1739,粟条点病,Striped and dotted disease of foxtail millet,重雾,Heavy fog,适宜发生条件,ConditionIs
1740,粟条点病,Striped and dotted disease of foxtail millet,重露,Heavy Dew,适宜发生条件,ConditionIs
1741,粟条点病,Striped and dotted disease of foxtail millet,高湿,High humidity,适宜发生条件,ConditionIs
1742,粟条点病,Striped and dotted disease of foxtail millet,多雨,Rainy,适宜发生条件,ConditionIs
1743,粟黑粉病,Ustilago crameri,土壤过干,Soil is too dry,适宜发生条件,ConditionIs
1744,粟细菌性条斑病,Xanthomonas sp.,管理粗放,Extensive management,适宜发生条件,ConditionIs
1745,粟细菌性条斑病,Xanthomonas sp.,肥力不足,Insufficient fertility,适宜发生条件,ConditionIs
1746,粟细菌性条斑病,Xanthomonas sp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1747,粟细菌性条斑病,Xanthomonas sp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
1748,粟细菌性条斑病,Xanthomonas sp.,土壤潮湿,Moist soil,适宜发生条件,ConditionIs
1749,粟细菌性条斑病,Xanthomonas sp.,干旱,drought,适宜发生条件,ConditionIs
1750,粟细菌性条斑病,Xanthomonas sp.,高湿,High humidity,适宜发生条件,ConditionIs
1751,粟细菌性条斑病,Xanthomonas sp.,多雨,Rainy,适宜发生条件,ConditionIs
1752,甘薯黑斑病,Ceratocystis fimbriata,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1753,甘薯黑斑病,Ceratocystis fimbriata,土壤粘重,Heavy soil,适宜发生条件,ConditionIs
1754,甘薯黑斑病,Ceratocystis fimbriata,湿度大,High humidity,适宜发生条件,ConditionIs
1755,甘薯黑斑病,Ceratocystis fimbriata,通风不好,Poor ventilation,适宜发生条件,ConditionIs
1756,甘薯软腐病,Rhizopus stolonifer,相对湿度76％,Relative humidity 76%,适宜发生条件,ConditionIs
1757,甘薯瘟病,Pseudomonas solanacearum,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1758,甘薯瘟病,Pseudomonas solanacearum,平地洼地,Flat land,适宜发生条件,ConditionIs
1759,甘薯根腐病,Fusarium solani,高温,high temperature,适宜发生条件,ConditionIs
1760,甘薯紫纹羽病,Helicobasidium purpureum,潮湿,Wet,适宜发生条件,ConditionIs
1761,甘薯紫纹羽病,Helicobasidium purpureum,低洼潮湿,Low-lying and humid,适宜发生条件,ConditionIs
1762,甘薯茎线虫病,Ditylenchus destructor,湿润,Wet,适宜发生条件,ConditionIs
1763,甘薯茎线虫病,Ditylenchus destructor,疏松,loose,适宜发生条件,ConditionIs
1764,甘薯黑痣病,Phyllachora batatas,土质粘重,Heavy soil,适宜发生条件,ConditionIs
1765,甘薯黑痣病,Phyllachora batatas,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1766,甘薯黑痣病,Phyllachora batatas,排水不良,Poor drainage,适宜发生条件,ConditionIs
1767,马铃薯癌肿病,Synchytrium endobioticum,日照短,Short daylight hours,适宜发生条件,ConditionIs
1768,马铃薯癌肿病,Synchytrium endobioticum,气候凉爽,Cool climate,适宜发生条件,ConditionIs
1769,马铃薯早疫病,Alternaria solani,高温多湿,High temperature and high humidity,适宜发生条件,ConditionIs
1770,马铃薯早疫病,Alternaria solani,阴雨多雾,Rainy and foggy,适宜发生条件,ConditionIs
1771,马铃薯晚疫病,Phytophthora infestans,日暖夜凉高湿,"Warm days, cool nights, high humidity",适宜发生条件,ConditionIs
1772,马铃薯晚疫病,Phytophthora infestans,空气潮湿,Humid air,适宜发生条件,ConditionIs
1773,马铃薯晚疫病,Phytophthora infestans,温暖多雾,Warm and foggy,适宜发生条件,ConditionIs
1774,马铃薯黑胫病,Erwinia carotovora subsp. atroseptica,高温高湿,High temperature and high humidity,适宜发生条件,ConditionIs
1775,马铃薯黑胫病,Erwinia carotovora subsp. atroseptica,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
1776,马铃薯黑胫病,Erwinia carotovora subsp. atroseptica,排水不良,Poor drainage,适宜发生条件,ConditionIs
1777,马铃薯环腐病,Clavibacter michiganensis subsp. sepedonicus,阴雨连绵,Continuous rain,适宜发生条件,ConditionIs
1778,马铃薯环腐病,Clavibacter michiganensis subsp. sepedonicus,排水不良,Poor drainage,适宜发生条件,ConditionIs
1779,马铃薯粉痂病,Spongospora subterranea,夏季凉爽,Cool in summer,适宜发生条件,ConditionIs
1780,马铃薯茎基腐病,Fusarium sp.,土壤水分多,High soil moisture,适宜发生条件,ConditionIs
1781,马铃薯茎基腐病,Fusarium sp.,光线不足,Low light,适宜发生条件,ConditionIs
1782,马铃薯软腐病,Erwinia carotovora subsp. carotovora,通风不良,Poor ventilation,适宜发生条件,ConditionIs
1783,马铃薯软腐病,Erwinia carotovora subsp. carotovora,湿度过大,Excessive humidity,适宜发生条件,ConditionIs
1784,马铃薯早死病,Early death disease of potato,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1785,黄胫小车蝗,Oedaleus infernalis,低洼易涝,Low-lying and flood-prone,适宜发生条件,ConditionIs
1786,黄胫小车蝗,Oedaleus infernalis,土壤板结,Soil compaction,适宜发生条件,ConditionIs
1787,马铃薯二十八星瓢虫,Henosepilachna vigintioctopunctata,相对湿度在80～85%,Relative humidity 80-85%,适宜发生条件,ConditionIs
1788,棉苗立枯病,Rhizoctonia solani,阴雨多湿,Rainy and wet,适宜发生条件,ConditionIs
1789,棉苗立枯病,Rhizoctonia solani,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1790,棉苗立枯病,Rhizoctonia solani,土质黏重,Heavy soil,适宜发生条件,ConditionIs
1791,棉苗立枯病,Rhizoctonia solani,排水不良,Poor drainage,适宜发生条件,ConditionIs
1792,棉花炭疽病,Colletotrichum sp.,管理粗放,Extensive management,适宜发生条件,ConditionIs
1793,棉花红腐病,Fusarium sp.,高湿,High humidity,适宜发生条件,ConditionIs
1794,棉花枯萎病,Fusarium oxysporum f. sp. vasinfectum,整地粗放,Extensive land preparation,适宜发生条件,ConditionIs
1795,棉花枯萎病,Fusarium oxysporum f. sp. vasinfectum,排水不良,Poor drainage,适宜发生条件,ConditionIs
1796,棉花疫病,Phytophthora sp.,相对湿度30%,Relative humidity 30%,适宜发生条件,ConditionIs
1797,棉花疫病,Phytophthora sp.,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1798,棉花疫病,Phytophthora sp.,土质黏重,Heavy soil,适宜发生条件,ConditionIs
1799,棉花疫病,Phytophthora sp.,棉田潮湿郁闭,Cotton fields are damp and dense,适宜发生条件,ConditionIs
1800,棉铃红粉病,Trichothecium roseum,土壤黏重,Heavy soil,适宜发生条件,ConditionIs
1801,棉铃红粉病,Trichothecium roseum,排水不良,Poor drainage,适宜发生条件,ConditionIs
1802,棉铃软腐病,Erwinia carotovora subsp. carotovora,田间湿度大,High humidity in the field,适宜发生条件,ConditionIs
1803,棉铃灰霉病,Botrytis cinerea,湿度大,High humidity,适宜发生条件,ConditionIs
1804,棉铃灰霉病,Botrytis cinerea,相对湿度高于90%,Relative humidity above 90%,适宜发生条件,ConditionIs
1805,棉花褐斑病,Brown spot of cotton,阴雨,Rainy,适宜发生条件,ConditionIs
1806,棉花褐斑病,Brown spot of cotton,空气湿度高,High humidity,适宜发生条件,ConditionIs
1807,棉花轮纹病,Ring spot of cotton,阴湿多雨,Wet and rainy,适宜发生条件,ConditionIs
1808,棉花轮纹病,Ring spot of cotton,低温,Low temperature,适宜发生条件,ConditionIs
1809,麦叶蜂,Dolerus tritici,土壤水分充足,Sufficient soil moisture,适宜发生条件,ConditionIs
1810,大麦网斑病,Pyrenophora teres,低温,Low temperature,适宜发生条件,ConditionIs
1811,大麦网斑病,Pyrenophora teres,高湿,High humidity,适宜发生条件,ConditionIs
1812,玉米大斑病,Exserohilum turcicum,排水不良,Poor drainage,适宜发生条件,ConditionIs
1813,玉米大斑病,Exserohilum turcicum,郁闭,Closure,适宜发生条件,ConditionIs
1814,玉米大斑病,Exserohilum turcicum,通风不良,Poor ventilation,适宜发生条件,ConditionIs
1815,玉米弯孢霉叶斑病,Curvularia lunata,土壤贫瘠,Poor soil,适宜发生条件,ConditionIs
1816,玉米灰斑病,Cercospora zeae-maydis,相对湿度高,High relative humidity,适宜发生条件,ConditionIs
1817,玉米镰刀菌苗枯病,Fusarium sp.,低温高湿,Low temperature and high humidity,适宜发生条件,ConditionIs
1818,玉米镰刀菌苗枯病,Fusarium sp.,土壤板结,Soil compaction,适宜发生条件,ConditionIs
1819,玉米镰刀菌苗枯病,Fusarium sp.,通透性差,Poor permeability,适宜发生条件,ConditionIs
1820,玉米镰刀菌苗枯病,Fusarium sp.,土壤供氧不足,Insufficient soil oxygen,适宜发生条件,ConditionIs
1821,玉米镰刀菌苗枯病,Fusarium sp.,雨后土壤板结,Soil compaction after rain,适宜发生条件,ConditionIs
1822,黄麻苗枯病,Seedling blight of jute,低温多雨,Low temperature and heavy rain,适宜发生条件,ConditionIs
1823,黄麻苗枯病,Seedling blight of jute,光照不足,Insufficient light,适宜发生条件,ConditionIs
1824,黄麻苗枯病,Seedling blight of jute,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1825,黄麻苗枯病,Seedling blight of jute,排水不良,Poor drainage,适宜发生条件,ConditionIs
1826,黄麻苗枯病,Seedling blight of jute,地下水位高,High groundwater level,适宜发生条件,ConditionIs
1827,黄麻苗枯病,Seedling blight of jute,土质黏重,Heavy soil,适宜发生条件,ConditionIs
1828,黄麻黑点炭疽病,Colletotrichum sp.,偏施氮肥,Partial nitrogen fertilizer,适宜发生条件,ConditionIs
1829,黄麻黑点炭疽病,Colletotrichum sp.,排水不良,Poor drainage,适宜发生条件,ConditionIs
1830,黄麻黑点炭疽病,Colletotrichum sp.,湿气滞留,Moisture Retention,适宜发生条件,ConditionIs
1831,黄麻叶枯病,Leaf blight of jute,地势低洼,Low-lying terrain,适宜发生条件,ConditionIs
1832,黄麻叶枯病,Leaf blight of jute,排水不良,Poor drainage,适宜发生条件,ConditionIs
